p1	p2	n	r	p.value
protein150	protein253	4	0.999999999996478	0
protein151	protein253	4	0.999999999978779	0.003
protein152	protein253	4	0.318816125875783	0.712
protein157	protein253	4	0.085443745679621	0.836
protein158	protein253	4	0.999999999992739	0
protein159	protein253	4	0.999909621383794	0.004
protein15	protein253	4	0.999999999987565	0.003
protein160	protein253	4	0.999999999962284	0.004
protein161	protein253	4	-0.00836021943994783	0.865
protein162	protein253	4	0.999999999981541	0.003
protein163	protein253	4	0.999999999977375	0.003
protein164	protein253	4	0.999999999981947	0.003
protein165	protein253	4	0.999999999991244	0
protein166	protein253	4	0.999999999989955	0.003
protein167	protein253	4	0.999999999924756	0.004
protein168	protein253	4	0.999999999971232	0.003
protein169	protein253	4	0.999999999947358	0.004
protein16	protein253	4	0.999999999991465	0
protein170	protein253	4	-0.330991362613895	0.961
protein171	protein253	4	-0.311853335959574	0.957
protein172	protein253	4	0.999999999825323	0.004
protein173	protein253	4	0.999999999952986	0.004
protein174	protein253	4	0.999955890952414	0.004
protein175	protein253	4	0.99999999986249	0.004
protein176	protein253	4	0.999999999862487	0.004
protein177	protein253	4	0.99520354948602	0.009
protein178	protein253	4	0.999907940450017	0.004
protein179	protein253	4	0.999999999604905	0.004
protein17	protein253	4	0.999999999976798	0.003
protein180	protein253	4	0.999999999981772	0.003
protein181	protein253	4	0.280166041853475	0.726
protein182	protein253	4	-0.207739608754733	0.93
protein183	protein253	4	-0.303404150024581	0.954
protein184	protein253	4	0.99999999978839	0.004
protein185	protein253	4	0.999999999542141	0.004
protein186	protein253	4	0.99231789889798	0.012
protein187	protein253	4	-0.504605064468853	0.985
protein188	protein253	4	-0.6201765692123	0.993
protein189	protein253	4	0.999999999997301	0
protein18	protein253	4	0.999999999958738	0.004
protein190	protein253	4	0.999999999999832	0
protein191	protein253	4	-0.00347295986427607	0.863
protein192	protein253	4	0.111598066687714	0.788
protein193	protein253	4	-0.314917696726946	0.957
protein194	protein253	4	0.999999999886389	0.004
protein195	protein253	4	0.999999999911776	0.004
protein196	protein253	4	0.999963399177521	0.004
protein197	protein253	4	0.999422801752251	0.004
protein198	protein253	4	-0.329505069569419	0.961
protein199	protein253	4	-0.329420598709311	0.961
protein19	protein253	4	0.999999999976622	0.003
protein1	protein253	4	0.085443745679621	0.836
protein200	protein253	4	-0.331059444422656	0.961
protein201	protein253	4	-0.616575441164734	0.993
protein202	protein253	4	-0.661891146336029	0.994
protein203	protein253	4	-0.333151479606174	0.961
protein204	protein253	4	0.189583317418973	0.76
protein205	protein253	4	0.999999999999223	0
protein206	protein253	4	-0.169432466502075	0.924
protein207	protein253	4	0.999999999998309	0
protein208	protein253	4	0.999999999992061	0
protein209	protein253	4	0.999999999994251	0
protein20	protein253	4	0.999963266142982	0.004
protein210	protein253	4	0.999999999707099	0.004
protein211	protein253	4	0.999999999991108	0
protein212	protein253	4	0.999999999994852	0
protein213	protein253	4	0.9999999998648	0.004
protein214	protein253	4	-0.138259012107387	0.913
protein215	protein253	4	0.999999999987399	0.003
protein216	protein253	4	0.999999999975767	0.003
protein217	protein253	4	0.999999999959871	0.004
protein218	protein253	4	0.663550531857307	0.509
protein219	protein253	4	0.999999999973861	0.003
protein21	protein253	4	0.999972544670094	0.004
protein220	protein253	4	0.999999999959608	0.004
protein221	protein253	4	0.999999999977213	0.003
protein222	protein253	4	0.999999999645441	0.004
protein223	protein253	4	-0.183955915373575	0.926
protein224	protein253	4	-0.791904809979236	1
protein225	protein253	4	0.99999999996016	0.004
protein226	protein253	4	0.998467518225721	0.004
protein227	protein253	4	0.999999999994891	0
protein228	protein253	4	0.999999999995446	0
protein229	protein253	4	0.999999999953058	0.004
protein22	protein253	4	0.617999497591672	0.535
protein230	protein253	4	0.99999999995415	0.004
protein231	protein253	4	0.999999999955082	0.004
protein232	protein253	4	0.999999999981753	0.003
protein233	protein253	4	0.999999999981762	0.003
protein234	protein253	4	0.99999999995469	0.004
protein235	protein253	4	0.99999999995899	0.004
protein236	protein253	4	0.99999999995289	0.004
protein237	protein253	4	0.999999999957779	0.004
protein238	protein253	4	0.999999999976785	0.003
protein239	protein253	4	0.698688189970175	0.5
protein23	protein253	4	0.0000134026756998201	0.863
protein240	protein253	4	0.999999999956352	0.004
protein241	protein253	4	0.695849125575043	0.501
protein242	protein253	4	0.255600597514646	0.734
protein243	protein253	4	0.269098626416001	0.73
protein244	protein253	4	0.999999999826711	0.004
protein245	protein253	4	0.99999999956438	0.004
protein246	protein253	4	0.999999999963597	0.004
protein247	protein253	4	0.999999999963312	0.004
protein248	protein253	4	0.999999999963661	0.004
protein249	protein253	4	0.99999999996351	0.004
protein24	protein253	4	0.999082629313837	0.004
protein250	protein253	4	0.798370201259794	0.409
protein251	protein253	4	0.999999999953157	0.004
protein252	protein253	4	0.999999999982265	0.003
protein153	protein254	4	-0.385610764482743	0.97
protein154	protein254	4	0.53210740056674	0.581
protein155	protein254	4	0.491381721531948	0.633
protein156	protein254	4	0.491381903732832	0.633
protein169	protein254	4	-0.333333333335357	0.961
protein253	protein254	4	-0.333333333340322	0.961
