p1	p2	n	r	p.value
protein156	protein218	11	0.0265849415694005	0.806
protein157	protein218	12	-0.0968578603292461	0.94
protein158	protein218	12	-0.105892217454405	0.946
protein159	protein218	12	-0.103776183547735	0.946
protein15	protein218	12	0.352988675685545	0.394
protein160	protein218	12	0.0413874002314317	0.793
protein161	protein218	12	0.0987782919920766	0.712
protein162	protein218	12	-0.00334757202821514	0.85
protein163	protein218	12	0.00306151830166418	0.841
protein164	protein218	12	0.0705196272401412	0.738
protein165	protein218	12	-0.178096793224218	0.976
protein166	protein218	12	0.0074096689620907	0.827
protein167	protein218	12	0.0701161491611059	0.739
protein168	protein218	11	0.253244087028207	0.508
protein16	protein218	12	-0.0175940216153656	0.864
protein170	protein218	12	-0.176568040797465	0.976
protein171	protein218	12	-0.355091319074801	0.998
protein172	protein218	11	-0.133544397179318	0.956
protein173	protein218	12	-0.284390523588987	0.996
protein174	protein218	12	0.23994487468861	0.519
protein175	protein218	12	-0.0561432050170387	0.901
protein176	protein218	12	-0.0560667795449601	0.901
protein177	protein218	11	0.129575305237747	0.668
protein178	protein218	12	-0.0970704917442937	0.94
protein179	protein218	12	-0.0579862638026765	0.905
protein17	protein218	12	0.31682333450195	0.441
protein181	protein218	12	-0.294612913493898	0.996
protein182	protein218	12	-0.323194807496752	0.998
protein183	protein218	12	-0.200105846291662	0.979
protein184	protein218	12	-0.0608589647340542	0.91
protein185	protein218	12	-0.0683838812337348	0.914
protein186	protein218	12	0.61015237009351	0.108
protein187	protein218	11	0.0999528335027229	0.711
protein188	protein218	12	-0.0652706987999264	0.912
protein189	protein218	12	-0.0704615855835742	0.915
protein18	protein218	12	0.320229404261182	0.438
protein190	protein218	11	-0.0995045971345905	0.941
protein191	protein218	12	0.0335742598620535	0.801
protein192	protein218	12	-0.113905403213854	0.947
protein193	protein218	12	0.0620806543246621	0.752
protein194	protein218	11	-0.105073084455723	0.946
protein195	protein218	11	-0.0766717278793474	0.925
protein196	protein218	12	-0.0020795858332166	0.85
protein197	protein218	11	-0.436229912243483	1
protein198	protein218	12	-0.17005301699837	0.975
protein199	protein218	12	-0.17275963486347	0.975
protein19	protein218	12	0.321380817664245	0.437
protein1	protein218	12	-0.0968578603292461	0.94
protein200	protein218	12	-0.166006276828338	0.973
protein201	protein218	12	-0.135887711925413	0.96
protein202	protein218	12	-0.137108146491712	0.96
protein203	protein218	12	-0.082628009706029	0.929
protein204	protein218	12	-0.178439341994116	0.976
protein205	protein218	12	-0.348207284304982	0.998
protein206	protein218	12	0.00411922874483503	0.841
protein207	protein218	12	-0.351127219929222	0.998
protein208	protein218	12	-0.264094247905165	0.994
protein209	protein218	12	-0.0329761253507486	0.876
protein20	protein218	12	-0.00300734534368044	0.85
protein210	protein218	12	-0.204357684970657	0.98
protein211	protein218	11	0.149028295001247	0.638
protein212	protein218	11	0.0907320858189132	0.719
protein213	protein218	12	-0.191774789028659	0.978
protein214	protein218	11	-0.10429602051015	0.946
protein215	protein218	12	-0.0526795527153583	0.895
protein216	protein218	12	-0.131181691306228	0.956
protein217	protein218	11	0.307467871509027	0.454
protein137	protein219	12	0.763613990744266	0.009
protein149	protein219	11	0.150779230023093	0.638
protein177	protein219	11	0.637140009037868	0.093
protein218	protein219	12	0.0419017452967406	0.792
protein137	protein21	12	0.04924943598255	0.779
protein149	protein21	11	-0.0430726159709438	0.882
protein177	protein21	12	0.0308326800078003	0.804
protein218	protein21	12	-0.264131224275027	0.994
protein137	protein220	12	-0.0596734202449405	0.91
protein149	protein220	11	-0.0818137836296807	0.928
protein177	protein220	12	0.76353971072642	0.011
protein218	protein220	12	0.551447716741486	0.161
protein137	protein221	12	0.00232448067399935	0.844
protein149	protein221	11	-0.0235266227511687	0.865
protein177	protein221	12	0.756564212247297	0.018
protein218	protein221	12	0.316336826739039	0.441
protein137	protein222	12	-0.00770164469413329	0.858
protein149	protein222	11	-0.170304096409059	0.975
protein177	protein222	12	0.569034631454209	0.137
protein218	protein222	12	-0.202890436975374	0.98
protein114	protein223	12	0.625050076836172	0.101
protein137	protein223	11	0.151535704698338	0.638
protein169	protein223	12	0.043197945406837	0.791
protein177	protein223	11	0.542020168709444	0.167
protein114	protein224	12	0.549219693083405	0.162
protein137	protein224	11	0.0996592680269535	0.711
protein169	protein224	12	0.0846161688634983	0.723
protein177	protein224	11	0.531845640108098	0.168
protein137	protein225	12	0.0596420574038212	0.755
protein149	protein225	11	-0.0540861499284736	0.896
protein177	protein225	12	0.554933880267976	0.152
protein218	protein225	12	0.386163662833016	0.353
protein137	protein226	12	0.682257162107946	0.059
protein149	protein226	11	0.226885726625896	0.542
protein177	protein226	12	0.72081837290397	0.032
protein218	protein226	12	-0.0698488714558931	0.915
protein137	protein227	12	0.837776058717596	0
protein149	protein227	11	0.144137596210427	0.645
protein177	protein227	12	0.637879047054665	0.093
protein218	protein227	12	-0.0427461658575057	0.882
protein137	protein228	12	0.539597309818317	0.167
protein149	protein228	11	-0.102891498749412	0.945
protein177	protein228	12	0.205814653385751	0.567
protein218	protein228	12	-0.188579219760872	0.977
protein137	protein229	12	0.713196619473935	0.035
protein149	protein229	11	0.463144880107495	0.271
protein177	protein229	11	0.480449538876847	0.241
protein218	protein229	12	0.00757413024575845	0.827
protein137	protein22	12	0.0503193279212071	0.773
protein149	protein22	11	0.11102778112042	0.696
protein177	protein22	12	0.0151552889055037	0.811
protein218	protein22	12	-0.0832066171203711	0.929
protein137	protein230	12	0.266798294848113	0.491
protein149	protein230	11	0.144789433420495	0.645
protein177	protein230	12	0.884023360923771	0
protein218	protein230	12	-0.0813636526848319	0.928
protein137	protein231	12	0.0965013903657213	0.712
protein149	protein231	11	0.325519224913288	0.431
protein177	protein231	12	0.846860979326064	0
protein218	protein231	11	-0.134945407301413	0.96
protein137	protein232	12	0.0926453919641145	0.719
protein149	protein232	11	0.361931127117302	0.386
protein177	protein232	12	0.849485045846884	0
protein218	protein232	11	-0.109685518108437	0.946
protein137	protein233	12	0.0514696995519019	0.767
protein149	protein233	11	0.282480218774	0.482
protein177	protein233	12	0.846879844170096	0
protein218	protein233	11	-0.150463931825679	0.972
protein137	protein234	12	0.116576910219458	0.688
protein149	protein234	11	0.34418842133502	0.411
protein177	protein234	12	0.854707871244194	0
protein218	protein234	11	-0.0993381463786006	0.941
protein114	protein235	12	-0.00943768458096274	0.858
protein137	protein235	12	0.055262224831976	0.764
protein149	protein235	11	0.183551181447719	0.602
protein177	protein235	11	0.0636841797825075	0.749
protein218	protein235	11	0.159782866170092	0.621
protein137	protein236	12	-0.0555026651692484	0.901
protein149	protein236	11	0.0176994240036637	0.811
protein177	protein236	12	0.807834347024532	0
protein218	protein236	11	-0.299970058898255	0.996
protein137	protein237	12	-0.091569954053395	0.931
protein149	protein237	11	0.052638176700693	0.766
protein177	protein237	12	0.804926126267358	0
protein218	protein237	11	-0.142835047881625	0.97
protein137	protein238	12	-0.0841742173530775	0.929
protein149	protein238	11	0.0406454130265532	0.793
protein177	protein238	12	0.787074724976485	0
protein218	protein238	11	-0.0824129152948285	0.929
protein137	protein239	12	-0.0242018723965241	0.865
protein149	protein239	11	0.0540821179082689	0.765
protein177	protein239	12	0.0256695518875496	0.807
protein218	protein239	12	-0.239503334504907	0.988
protein137	protein23	12	-0.134316026582335	0.959
protein149	protein23	11	0.467922110689713	0.261
protein177	protein23	12	0.721358529228236	0.032
protein218	protein23	12	-0.333817322565927	0.998
protein137	protein240	12	-0.0312642771855095	0.875
protein149	protein240	11	0.273501518440392	0.485
protein177	protein240	12	0.828853075430579	0
protein218	protein240	11	-0.152705240614395	0.973
protein114	protein241	12	-0.0459675764806208	0.883
protein137	protein241	12	0.0455534612935189	0.783
protein149	protein241	11	0.202378753345452	0.576
protein177	protein241	11	-0.0088103536492397	0.858
protein218	protein241	11	-0.0343507916658197	0.877
protein114	protein242	12	0.0687813633050307	0.742
protein137	protein242	12	-0.031652059081527	0.875
protein149	protein242	11	0.376545852833686	0.365
protein177	protein242	11	-0.0249775131446536	0.865
protein218	protein242	11	0.134942874402499	0.662
protein114	protein243	12	-0.140528281084732	0.963
protein137	protein243	12	-0.167144049275661	0.974
protein149	protein243	11	0.175864749161773	0.611
protein177	protein243	11	-0.179416921260697	0.976
protein218	protein243	11	-0.0760803955684205	0.924
protein137	protein244	12	-0.105027915811566	0.946
protein149	protein244	11	-0.264551765535883	0.994
protein177	protein244	12	0.282389597008853	0.482
protein218	protein244	12	-0.407936331607256	0.998
protein137	protein245	12	0.843200609723911	0
protein149	protein245	11	0.264992149077878	0.491
protein177	protein245	12	0.923222226807499	0
protein218	protein245	12	-0.0672859509678536	0.912
protein137	protein246	12	-0.129614502719233	0.954
protein149	protein246	11	-0.0905505447467934	0.931
protein177	protein246	12	0.0891928977692272	0.72
protein218	protein246	12	0.553607619531758	0.16
protein137	protein247	12	-0.131249152265648	0.956
protein149	protein247	11	-0.071491042436532	0.915
protein177	protein247	12	0.0828381774549135	0.728
protein218	protein247	12	0.548974214078348	0.162
protein137	protein248	12	-0.132040697342266	0.956
protein149	protein248	11	-0.0687640701965214	0.915
protein177	protein248	12	0.101464234963258	0.709
protein218	protein248	12	0.55019660339287	0.162
protein137	protein249	12	-0.129359315986299	0.954
protein149	protein249	11	-0.0674023530164898	0.914
protein177	protein249	12	0.107572006007157	0.699
protein218	protein249	12	0.55072148325962	0.162
protein137	protein24	12	-0.092679588602468	0.934
protein149	protein24	11	-0.0967805311539374	0.94
protein177	protein24	11	-0.068088494891473	0.914
protein218	protein24	12	0.39697402191258	0.338
protein137	protein250	12	0.463952007161088	0.269
protein149	protein250	11	-0.0839323479533955	0.929
protein177	protein250	11	0.209689170408878	0.561
protein218	protein250	12	0.299208213112062	0.463
protein137	protein251	12	0.15907813301461	0.621
protein149	protein251	11	0.0859876585152322	0.723
protein177	protein251	12	0.851888232945709	0
protein218	protein251	12	-0.114498571500839	0.947
protein137	protein252	12	0.561005898362144	0.145
protein149	protein252	11	0.170984466370476	0.614
protein177	protein252	11	0.631325258380811	0.095
protein218	protein252	12	-0.0763056971120191	0.925
protein137	protein25	12	0.703618059391312	0.041
protein149	protein25	11	0.813540713647145	0
protein177	protein25	12	0.911151919098609	0
protein218	protein25	12	0.00188511411228884	0.845
protein137	protein266	12	0.292284996789933	0.469
protein149	protein266	11	-0.0640887302884328	0.912
protein177	protein266	12	-0.0501161818810653	0.885
protein218	protein266	12	-0.390355732562991	0.998
protein137	protein267	12	0.528237920681107	0.171
protein149	protein267	11	0.0566430307918685	0.76
protein177	protein267	12	0.756082305504651	0.019
protein218	protein267	12	-0.111513342695578	0.946
protein137	protein268	12	0.334630192938352	0.422
protein149	protein268	11	0.200303751070692	0.577
protein177	protein268	12	0.647846096485207	0.082
protein218	protein268	12	-0.147804538091091	0.971
protein137	protein26	12	0.880787418556499	0
protein149	protein26	11	0.241964486438416	0.516
protein177	protein26	11	0.709693425505444	0.037
protein218	protein26	12	-0.0576300634992323	0.904
protein137	protein27	12	0.498636603633795	0.208
protein149	protein27	11	0.18340488251179	0.602
protein177	protein27	12	0.52786381374906	0.172
protein218	protein27	12	0.0853682898468289	0.723
protein137	protein28	12	-0.163707927596311	0.973
protein149	protein28	11	-0.103905213292173	0.946
protein177	protein28	12	-0.218457041051533	0.98
protein218	protein28	12	-0.113205064822902	0.947
protein137	protein29	12	0.425168762326224	0.31
protein149	protein29	11	0.171626498883067	0.614
protein177	protein29	12	0.882725908136078	0
protein218	protein29	12	0.153615709482248	0.636
protein100	protein2	12	0.222495953021297	0.55
protein101	protein2	12	0.781562248051708	0
protein102	protein2	12	0.780777759710653	0
protein103	protein2	12	0.845546574845365	0
protein105	protein2	11	-0.143790513466198	0.971
protein106	protein2	12	0.42644646087137	0.31
protein107	protein2	11	-0.0899051582214864	0.931
protein108	protein2	11	-0.0292356546456668	0.871
protein109	protein2	11	-0.126688602966545	0.953
protein10	protein2	12	0.804594975328894	0
protein110	protein2	12	0.818767859492585	0
protein111	protein2	12	0.541888925032133	0.167
protein112	protein2	12	0.295455321093422	0.465
protein113	protein2	12	0.716973521221046	0.034
protein115	protein2	12	0.81124281307997	0
protein116	protein2	12	0.821726837071519	0
protein117	protein2	11	-0.0938620292789551	0.934
protein11	protein2	12	0.466142085960609	0.266
protein121	protein2	12	-0.105843838636189	0.946
protein122	protein2	11	0.0624378611723669	0.751
protein123	protein2	12	0.303545594559123	0.456
protein124	protein2	12	0.611501509400493	0.108
protein125	protein2	12	0.810089877006599	0
protein126	protein2	12	0.622567695485167	0.101
protein127	protein2	12	0.813247634601505	0
protein128	protein2	12	0.501548275695368	0.203
protein129	protein2	12	0.66078259608613	0.072
protein12	protein2	12	0.455632816232104	0.279
protein130	protein2	12	0.617011947188748	0.107
protein131	protein2	12	0.120620738464049	0.683
protein132	protein2	12	0.8012155042924	0
protein133	protein2	11	0.815957257827854	0
protein134	protein2	11	0.815957257827854	0
protein135	protein2	12	0.17839815864289	0.61
protein136	protein2	12	0.0367185821361502	0.797
protein137	protein2	11	0.117961172686287	0.688
protein138	protein2	12	0.77398190894011	0.007
protein139	protein2	12	0.455468514015275	0.28
protein13	protein2	12	0.838932062355751	0
protein140	protein2	12	0.425392347755279	0.31
protein141	protein2	12	0.415967664452545	0.322
protein142	protein2	11	-0.040156424805701	0.881
protein143	protein2	11	-0.17352642897584	0.975
protein144	protein2	11	-0.0320875536695793	0.875
protein145	protein2	12	0.468326306160306	0.261
protein146	protein2	11	0.139352733180156	0.661
protein149	protein2	11	0.519566777466117	0.183
protein14	protein2	12	0.194752492735246	0.584
protein150	protein2	11	-0.0289065070171912	0.871
protein151	protein2	11	-0.101781994201911	0.944
protein152	protein2	11	0.00433106096922383	0.841
protein153	protein2	11	-0.126797209286125	0.953
protein154	protein2	11	0.824634420836853	0
protein156	protein2	11	0.822312244307197	0
protein157	protein2	12	-0.112358299155978	0.946
protein158	protein2	11	0.00435355428516919	0.841
protein159	protein2	12	0.242958409186612	0.513
protein15	protein2	12	0.419911335235493	0.316
protein160	protein2	12	-0.187073832378069	0.977
protein161	protein2	11	0.0411320141946605	0.793
protein162	protein2	12	0.752016896633852	0.021
protein163	protein2	12	0.6956495297304	0.042
protein164	protein2	12	0.813287207592771	0
protein165	protein2	12	0.784952046560475	0
protein166	protein2	12	0.760575177039398	0.014
protein167	protein2	12	-0.123954426127914	0.953
protein168	protein2	11	0.283373554125776	0.482
protein16	protein2	12	0.782472142670184	0
protein170	protein2	12	0.753852121336385	0.02
protein171	protein2	11	-0.168953469421865	0.975
protein172	protein2	11	0.626054836040021	0.101
protein173	protein2	11	-0.170505014179653	0.975
protein174	protein2	12	0.358767401153384	0.389
protein175	protein2	12	0.813702004449696	0
protein176	protein2	12	0.81371681980251	0
protein177	protein2	12	0.791207102261741	0
protein178	protein2	12	0.510460821379483	0.19
protein179	protein2	12	0.815099223968648	0
protein17	protein2	12	0.706120636684642	0.04
protein180	protein2	11	0.817005053929782	0
protein181	protein2	11	-0.0430266896759605	0.882
protein182	protein2	12	0.668602737933547	0.066
protein183	protein2	11	-0.110024868511204	0.946
protein184	protein2	12	-0.0832448670848048	0.929
protein185	protein2	12	0.818882707835783	0
protein186	protein2	12	0.116873972263794	0.688
protein187	protein2	12	0.611220183016346	0.108
protein188	protein2	12	-0.0827146985880697	0.929
protein189	protein2	12	0.799963771325373	0
protein18	protein2	12	0.692591728897653	0.045
protein191	protein2	12	0.578930231179993	0.129
protein192	protein2	11	0.0440295406637431	0.785
protein193	protein2	12	0.387147271770328	0.353
protein196	protein2	12	0.804594975328894	0
protein197	protein2	12	0.578961917752768	0.129
protein198	protein2	12	0.714056259746961	0.035
protein199	protein2	12	0.756128079644993	0.019
protein19	protein2	12	0.696752228779763	0.042
protein1	protein2	12	-0.112358299155978	0.946
protein200	protein2	12	0.712943097216531	0.035
protein201	protein2	12	0.781710570086618	0
protein202	protein2	12	0.74727003148241	0.022
protein203	protein2	12	0.642958436653939	0.085
protein204	protein2	11	-0.111522753125168	0.946
protein205	protein2	12	0.253740287651835	0.508
protein206	protein2	12	0.47382028090548	0.254
protein207	protein2	11	-0.177797828165229	0.976
protein208	protein2	12	0.449806933975198	0.288
protein209	protein2	12	0.821389729444063	0
protein20	protein2	12	0.806092827645063	0
protein210	protein2	12	0.757471090008295	0.018
protein211	protein2	11	0.177897761020833	0.611
protein212	protein2	11	0.106651992291347	0.699
protein213	protein2	12	0.738095885335264	0.024
protein214	protein2	12	0.500170922792962	0.206
protein215	protein2	12	0.796747257052152	0
protein216	protein2	11	-0.0750732672110236	0.919
protein217	protein2	11	-0.012866019556638	0.861
protein218	protein2	11	0.165567091907267	0.617
protein219	protein2	11	0.0236925296672187	0.807
protein21	protein2	12	-0.128811172899676	0.954
protein220	protein2	12	0.672507154038744	0.064
protein221	protein2	12	0.622595123719349	0.101
protein222	protein2	12	0.50981310477534	0.19
protein223	protein2	11	0.229218033529279	0.537
protein224	protein2	11	0.232671878222857	0.53
protein225	protein2	12	0.459869162874514	0.275
protein226	protein2	12	0.45991254132446	0.275
protein227	protein2	12	0.354955245816312	0.392
protein228	protein2	12	0.0312876963352689	0.804
protein229	protein2	11	0.0618444880183587	0.752
protein22	protein2	12	-0.118278334229285	0.952
protein230	protein2	12	0.79033544297424	0
protein231	protein2	12	0.776566296196422	0
protein232	protein2	12	0.782872252713824	0
protein233	protein2	12	0.776035864207531	0.005
protein234	protein2	12	0.785329366914463	0
protein235	protein2	11	0.326646049395836	0.427
protein236	protein2	12	0.786789566815178	0
protein237	protein2	12	0.783644009543757	0
protein238	protein2	12	0.763060119082963	0.011
protein239	protein2	12	-0.0190765609511213	0.864
protein23	protein2	12	0.698317364428784	0.042
protein240	protein2	12	0.764414525944092	0.009
protein241	protein2	11	-0.0328265053009627	0.875
protein242	protein2	11	0.0924009923888626	0.719
protein243	protein2	11	-0.0778228528451622	0.926
protein244	protein2	12	0.210093522192783	0.561
protein245	protein2	12	0.813391005746253	0
protein246	protein2	12	0.0316169077079982	0.803
protein247	protein2	12	0.0260997394150119	0.807
protein248	protein2	12	0.0451405340360329	0.784
protein249	protein2	12	0.0492175378655574	0.78
protein24	protein2	11	-0.128937543350465	0.954
protein250	protein2	11	-0.147321097034469	0.971
protein251	protein2	12	0.706096082256264	0.04
protein252	protein2	11	0.00161810254554562	0.845
protein25	protein2	12	0.824463634692799	0
protein266	protein2	12	-0.195687603761629	0.978
protein267	protein2	12	0.520222050698001	0.181
protein268	protein2	12	0.48049619570523	0.24
protein26	protein2	11	0.0679955418286631	0.743
protein27	protein2	12	0.382014028726646	0.355
protein28	protein2	12	-0.20554621426087	0.98
protein29	protein2	12	0.757674482783561	0.018
protein120	protein30	12	0.5054820109476	0.198
protein137	protein30	12	-0.0142117648055496	0.861
protein149	protein30	11	-0.0509028633066474	0.888
protein177	protein30	12	0.0631267734189334	0.751
protein218	protein30	12	-0.312775337639888	0.998
protein2	protein30	12	-0.0585702584070964	0.906
protein107	protein31	12	-0.0234337611245918	0.865
protein114	protein31	11	0.655212191139461	0.077
protein118	protein31	11	-0.174410241257565	0.975
protein119	protein31	11	-0.140593995671953	0.963
protein120	protein31	11	0.255788984166142	0.503
protein133	protein31	12	0.471096078959478	0.258
protein134	protein31	12	0.471096078959478	0.258
protein137	protein31	12	0.0767496761015032	0.731
protein149	protein31	11	0.0285183557023193	0.804
protein155	protein31	12	0.295569618380184	0.465
protein169	protein31	11	0.330845982733573	0.426
protein172	protein31	12	-0.0520088608757469	0.894
protein177	protein31	12	0.647014272545472	0.082
protein180	protein31	12	0.464669045781733	0.269
protein190	protein31	12	0.275584491430807	0.484
protein194	protein31	12	0.256916145450028	0.501
protein195	protein31	12	0.250486136901805	0.51
protein211	protein31	12	0.196072406388715	0.581
protein212	protein31	12	0.237457085185114	0.523
protein217	protein31	12	0.520155933414438	0.183
protein218	protein31	12	-0.0994983806970118	0.941
protein223	protein31	12	0.890638165328981	0
protein224	protein31	12	0.910995911231838	0
protein235	protein31	12	-0.0150118791441854	0.862
protein241	protein31	12	-0.136168359861632	0.96
protein242	protein31	12	-0.146423687398313	0.971
protein243	protein31	12	-0.203865737989062	0.98
protein2	protein31	12	0.375693095344824	0.367
protein137	protein33	12	-0.159727043795115	0.973
protein149	protein33	11	-0.108993382502252	0.946
protein177	protein33	12	-0.215709867819599	0.98
protein218	protein33	12	-0.111240542933809	0.946
protein2	protein33	12	-0.202831107067192	0.98
protein137	protein34	12	0.859269087895992	0
protein149	protein34	11	0.402725874719176	0.335
protein177	protein34	11	0.858116875836541	0
protein218	protein34	12	-0.00229658579210376	0.85
protein2	protein34	11	0.189713862686722	0.585
protein137	protein35	12	0.920753582344433	0
protein149	protein35	11	0.366395047892799	0.382
protein177	protein35	11	0.769251371250554	0.009
protein218	protein35	12	-0.0364817055621297	0.877
protein2	protein35	11	0.132293079928797	0.662
protein137	protein36	12	0.0548870698578465	0.764
protein149	protein36	11	-0.14786224355166	0.971
protein177	protein36	12	-0.130548946892128	0.955
protein218	protein36	12	-0.309038238756042	0.996
protein2	protein36	12	-0.248702868484919	0.992
protein137	protein37	12	0.297105694572335	0.464
protein149	protein37	11	0.310445322689619	0.449
protein177	protein37	12	0.875671281203323	0
protein218	protein37	12	0.0977443578216427	0.712
protein2	protein37	12	0.847283773211871	0
protein137	protein38	12	-0.165245206442402	0.973
protein149	protein38	11	-0.143356885935027	0.97
protein177	protein38	12	0.126121791276767	0.673
protein218	protein38	12	0.074165956198764	0.736
protein2	protein38	12	0.162735658445713	0.62
protein137	protein39	12	0.839762853085901	0
protein149	protein39	11	0.207807553426627	0.566
protein177	protein39	12	0.785908869976358	0
protein218	protein39	12	0.254857874255337	0.505
protein2	protein39	12	0.573473053314866	0.134
protein137	protein3	12	0.865048051345159	0
protein149	protein3	11	0.371919528124072	0.371
protein177	protein3	11	0.855135016632839	0
protein218	protein3	12	0.0149180946665482	0.811
protein2	protein3	11	0.146287601089105	0.641
protein137	protein40	12	0.0567502093454632	0.76
protein149	protein40	11	-0.162112511450314	0.973
protein177	protein40	12	0.289563103161202	0.473
protein218	protein40	12	-0.0951632380291467	0.938
protein2	protein40	12	0.189855913306162	0.585
protein137	protein41	12	0.191208907870258	0.584
protein149	protein41	11	-0.124192324881619	0.953
protein177	protein41	12	0.269815184563437	0.488
protein218	protein41	12	0.282270598629779	0.482
protein2	protein41	12	0.243689180224402	0.513
protein137	protein42	12	-0.164065849839434	0.973
protein149	protein42	11	-0.114105532412141	0.947
protein177	protein42	12	-0.219536003664379	0.98
protein218	protein42	12	-0.110740312486628	0.946
protein2	protein42	12	-0.204803101616691	0.98
protein137	protein43	12	0.0534569422944301	0.765
protein149	protein43	11	-0.0763147712777689	0.925
protein177	protein43	12	0.388813126973179	0.349
protein218	protein43	12	0.0135442751254425	0.812
protein2	protein43	12	0.278484883790759	0.482
protein137	protein44	12	0.0321401072156954	0.803
protein149	protein44	11	-0.0702651196258475	0.915
protein177	protein44	12	0.648165737520044	0.082
protein218	protein44	12	0.0519038244452807	0.767
protein2	protein44	12	0.522060631377346	0.179
protein137	protein45	12	-0.16671262477956	0.974
protein149	protein45	11	-0.105982632289077	0.946
protein177	protein45	12	-0.212628460279641	0.98
protein218	protein45	12	-0.110192820315525	0.946
protein2	protein45	12	-0.198789975690354	0.978
protein137	protein46	12	-0.0340452502936862	0.877
protein149	protein46	11	0.343054164223723	0.411
protein177	protein46	12	0.725395514655248	0.031
protein218	protein46	12	-0.0224332085415256	0.865
protein2	protein46	12	0.751040874792353	0.021
protein137	protein47	12	-0.0234957780923561	0.865
protein149	protein47	11	-0.0538000084220725	0.896
protein177	protein47	12	0.666697169872686	0.066
protein218	protein47	12	-0.158039704959395	0.973
protein2	protein47	12	0.625029528928439	0.101
protein137	protein48	12	-0.0126787452409898	0.861
protein149	protein48	11	0.102694322694599	0.704
protein177	protein48	12	0.765586436678451	0.009
protein218	protein48	12	-0.28019142901919	0.996
protein2	protein48	12	0.641745689012164	0.089
protein137	protein49	12	0.743701365139696	0.022
protein149	protein49	11	0.240426120899145	0.518
protein177	protein49	11	0.523197371463163	0.179
protein218	protein49	12	0.179281707471888	0.608
protein2	protein49	11	0.031087016025865	0.804
protein137	protein4	12	0.245903282088827	0.51
protein149	protein4	11	0.000091050435044072	0.847
protein177	protein4	12	0.893555828631069	0
protein218	protein4	12	-0.0419275860001734	0.881
protein2	protein4	12	0.787723976605236	0
protein137	protein50	12	0.205549530122639	0.567
protein149	protein50	11	0.18718877161243	0.59
protein177	protein50	11	0.160029833897986	0.621
protein218	protein50	12	-0.204297042080754	0.98
protein2	protein50	11	-0.167093291437598	0.974
protein137	protein51	12	0.587216144596329	0.122
protein149	protein51	11	0.0710014852843246	0.738
protein177	protein51	11	0.524065626734902	0.179
protein218	protein51	12	-0.0209714936716616	0.864
protein2	protein51	11	-0.0918572507872514	0.931
protein137	protein52	12	0.492534114244859	0.227
protein149	protein52	11	-0.0768298381346647	0.925
protein177	protein52	11	0.171927492300667	0.614
protein218	protein52	12	-0.213022238528485	0.98
protein2	protein52	11	-0.099937436514829	0.942
protein137	protein53	12	0.452326505756421	0.286
protein149	protein53	11	0.140341220773319	0.657
protein177	protein53	11	0.775131416899461	0.005
protein218	protein53	12	-0.0287228840848065	0.87
protein2	protein53	11	0.0210898379965711	0.808
protein137	protein54	12	0.285360027399816	0.481
protein149	protein54	11	-0.0990452939647821	0.941
protein177	protein54	11	0.223116639499157	0.548
protein218	protein54	12	0.0529748791275828	0.765
protein2	protein54	11	-0.189571912554548	0.977
protein137	protein55	12	0.475312222212001	0.249
protein149	protein55	11	-0.0477374267812347	0.883
protein177	protein55	11	0.192453252873399	0.584
protein218	protein55	12	0.168106925933506	0.615
protein2	protein55	11	-0.154506344135667	0.973
protein137	protein56	12	0.814008071250177	0
protein149	protein56	11	0.157142191213289	0.625
protein177	protein56	11	0.827078232806107	0
protein218	protein56	12	0.00273448271289664	0.841
protein2	protein56	11	0.0271326137860333	0.804
protein137	protein57	12	0.843200609723911	0
protein149	protein57	11	0.264992149077878	0.491
protein177	protein57	12	0.923222226807499	0
protein218	protein57	12	-0.0672859509678536	0.912
protein2	protein57	12	0.813391005746253	0
protein137	protein58	12	0.849478727815103	0
protein149	protein58	11	0.231267952330288	0.535
protein177	protein58	12	0.920020944523033	0
protein218	protein58	12	-0.0660565112594499	0.912
protein2	protein58	12	0.812770464355975	0
protein137	protein59	12	0.482920381903526	0.24
protein149	protein59	11	-0.0751094332273933	0.919
protein177	protein59	11	0.0487325626868564	0.78
protein218	protein59	12	0.395304859131841	0.339
protein2	protein59	11	0.179441548229704	0.608
protein137	protein5	12	0.0547330486977856	0.764
protein149	protein5	11	-0.160091093992697	0.973
protein177	protein5	11	-0.167329876600019	0.974
protein218	protein5	12	-0.267630278140891	0.994
protein2	protein5	11	-0.144019628307237	0.971
protein137	protein60	12	0.00192595682993929	0.844
protein149	protein60	11	0.162919734407646	0.62
protein177	protein60	12	0.616895638593061	0.107
protein218	protein60	11	0.036767885464159	0.797
protein2	protein60	12	0.541163017610007	0.167
protein137	protein61	12	-0.0299709313010141	0.871
protein149	protein61	11	0.214663370544355	0.555
protein177	protein61	12	0.654956158125754	0.077
protein218	protein61	11	-0.0271281758509062	0.865
protein2	protein61	12	0.599304652298496	0.116
protein137	protein62	12	0.00631167828334664	0.837
protein149	protein62	11	-0.320286576435918	0.998
protein177	protein62	12	0.23249436911541	0.53
protein218	protein62	12	0.142453204615161	0.651
protein2	protein62	12	0.127468264027089	0.672
protein137	protein63	12	-0.188158195974792	0.977
protein149	protein63	11	0.127818332189603	0.672
protein177	protein63	12	0.215229854760058	0.555
protein218	protein63	12	0.253926092474314	0.508
protein2	protein63	12	0.151714396847927	0.637
protein137	protein64	12	-0.13241160305182	0.956
